run_name,system_type,A_C_Distance_Filtered_mean,A_C_Distance_Filtered_std,A_C_Distance_Filtered_min,A_C_Distance_Filtered_max,B_D_Distance_Filtered_mean,B_D_Distance_Filtered_std,B_D_Distance_Filtered_min,B_D_Distance_Filtered_max,ac_bd_ratio_mean,ac_bd_ratio_std,ac_bd_ratio_min,ac_bd_ratio_max,ac_bd_diff_mean,ac_bd_diff_std,ac_bd_diff_min,ac_bd_diff_max,pct_ac_dominant,pct_bd_dominant,ellipticity_mean,ellipticity_std,ellipticity_min,ellipticity_max,pore_area_mean,pore_area_std,pore_area_min,pore_area_max,avg_diameter_mean,avg_diameter_std,avg_diameter_min,avg_diameter_max
R1,Control,8.049795770010132,0.28901216790071166,7.1082,9.0929,8.107822492401215,0.2339973562497361,7.3756,8.9598,0.9939968477823783,0.0521188885469089,0.8284143451956476,1.160128711813715,-0.05802672239108409,0.42735631263682256,-1.4918000000000005,1.1993,47.0871327254306,52.9128672745694,1.042054497748276,0.036960900614368256,1.0000381674533403,1.2071254026435634,51.24263205532941,1.9491935022132552,45.50756206056426,61.088792695469245,8.078809131205674,0.15324178110304035,7.6123,8.823450000000001
R1,Toxin,8.051022128712871,0.23487767648117386,7.3544,9.2506,8.126097004950497,0.24243306394204614,7.5396,8.9595,0.9911172896634833,0.02593340806621109,0.897152811556169,1.1666939928615572,-0.07507487623762374,0.21201425089363074,-0.9091999999999993,1.3217000000000008,34.09653465346535,65.87871287128712,1.0219511882965764,0.017899664343155028,1.0,1.1666939928615572,51.4104972970245,2.7295551649286462,45.41339241236586,60.352051778272,8.088559566831684,0.21385309456555626,7.6042000000000005,8.7667
R10,Toxin,9.232901905940594,1.5318322529469544,7.8237,15.6607,8.32312087871287,0.8185133420922579,5.7332,12.2,1.1108218963553986,0.15543931450794823,0.9234880052734421,1.9345584413406884,0.9097810272277228,1.2023609360822547,-0.6500000000000004,5.5738,85.07425742574257,14.900990099009901,1.117680818994629,0.15034832835399686,1.0,1.9345584413406884,60.97192229317947,16.794096967635635,46.95178156945682,140.7567607062327,8.778011392326732,1.0708964076985414,7.840450000000001,13.4983
R2,Control,7.920700321782179,0.10450457145128536,7.5853,8.3303,7.8600469554455445,0.10280502190304355,7.5211,8.3962,1.007874903391343,0.017957449777928416,0.9405773511740911,1.0750361879425687,0.060653366336633666,0.14070334154847255,-0.4964999999999993,0.5754000000000001,66.38613861386139,33.58910891089109,1.0156949583355959,0.011916627844800406,1.0,1.0750361879425687,48.897258038364,0.9445002036125654,45.56178705717662,52.80209811106987,7.890373638613861,0.07612937285059233,7.6165,8.1994
R2,Toxin,8.339393886138614,0.21937254169168538,7.6564,9.2133,8.012064542079209,0.1697672376913574,7.4789,8.7541,1.041192376893158,0.031047281790988444,0.916407127392296,1.1639727105746525,0.32732934405940595,0.24623672247363246,-0.7220000000000004,1.2693000000000003,91.16336633663367,8.836633663366337,1.0439118223771788,0.027135644335075686,1.000012510634039,1.1639727105746525,52.48338199689433,1.9525864260161316,46.92200592342323,59.08587899353074,8.17572921410891,0.15269080734337892,7.73015,8.686399999999999
R3,Control,7.781680346534653,0.10303346497405229,7.4286,8.2078,7.841903366336633,0.10917021661445442,7.4777,8.1946,0.9925037398038532,0.018590215624203557,0.9219327637582068,1.0540679440212952,-0.06022301980198019,0.14619530385011784,-0.6313999999999993,0.42029999999999923,34.7029702970297,65.2970297029703,1.016479011909284,0.01231353803291471,1.0000125244226241,1.0846777978944544,47.927953460141175,0.9453429379735468,45.1323291187541,51.438661130826624,7.811791856435644,0.07696589396054598,7.58095,8.09295
R3,Toxin,8.11603608910891,0.18200096259904933,7.5426,9.1837,7.877810717821782,0.2521192244966491,7.0867,8.7106,1.0316504476268362,0.04845340189891917,0.8836761961805155,1.239889227057114,0.2382253712871287,0.376352988988654,-1.009900000000001,1.7580999999999998,74.62871287128714,25.35891089108911,1.0477301422612117,0.033509942471087316,1.0,1.239889227057114,50.198034278593504,1.4374706484250965,45.739008060822826,54.70387953940562,7.996923403465346,0.11372701435328668,7.6437,8.35105
R4,Control,7.884151361386139,0.11881586300839381,7.4563,8.4295,7.829883465346535,0.10902455378910923,7.4381,8.3475,1.007075964250783,0.018053894013731107,0.9303048328942737,1.0978072357187991,0.05426789603960396,0.14093028285794887,-0.5740999999999996,0.7274999999999991,64.05940594059406,35.94059405940594,1.015061929917873,0.012370641617030255,1.000012718600954,1.0978072357187991,48.48660017426236,1.1098898437799762,45.4315372226614,53.67577014285662,7.857017413366337,0.08964622222417697,7.6071,8.267050000000001
R4,Toxin,8.339292499999999,0.20413008855697026,7.6569,8.9391,7.948967920792079,0.24063953405519106,7.23,8.8238,1.0504836819013386,0.05032400844189724,0.8887596899224806,1.2021438450899031,0.39032457920792074,0.3929952192855605,-0.9758000000000004,1.4614999999999991,81.75742574257426,18.24257425742574,1.0606661221128553,0.03777533950369515,1.0000241887691543,1.2021438450899031,52.04153283798648,1.3639697877625179,47.535750919980444,57.628219531354645,8.144130210396039,0.10572099416370216,7.78935,8.573
R5,Control,7.958372351485148,0.136178355771954,7.5487,8.5145,7.905706287128713,0.13352261590359432,7.5589,8.6066,1.0068402310246285,0.019193472689585777,0.9249118560839665,1.0900648031974753,0.052666064356435636,0.15179926376201106,-0.6452999999999998,0.6963000000000008,64.57920792079209,35.42079207920792,1.0161803505365363,0.012631514507984942,1.0000128265972321,1.0900648031974753,49.419779532794614,1.3937984154304088,46.18666940809787,56.241965053712626,7.932039319306931,0.11147045639797874,7.6687,8.46345
R5,Toxin,8.162596237623763,0.1912054232459197,7.4689,8.8737,7.84055542079208,0.16543093213308166,7.2409,8.6714,1.041737763715261,0.038696424782330464,0.9150050328332455,1.2033856317093312,0.3220408168316832,0.2982854909528129,-0.7092999999999998,1.4778000000000002,85.51980198019803,14.480198019801978,1.0475698546897034,0.031389799374341526,1.0001122194513716,1.2033856317093312,50.25508854929718,1.2336471604972605,46.19659876510872,55.59304125660276,8.00157582920792,0.09858952816752711,7.67145,8.414750000000002
R6,Toxin,8.06526188118812,0.275815930761379,7.2933,9.3331,7.959628514851485,0.1963927108742518,7.3115,8.9828,1.014001963905076,0.04537495059586055,0.8728114790392648,1.1664179405477353,0.10563336633663366,0.35879173658877805,-1.0627999999999993,1.237800000000001,61.93069306930693,38.06930693069307,1.036111245823804,0.03197638332238809,1.0000125186214495,1.1664179405477353,50.414272862905484,2.0065732473111786,45.71233666176016,63.944374345469164,8.012445198019801,0.15855404350584648,7.629099999999999,9.0232
R7,Toxin,7.937882673267327,0.1599848939034367,7.375,8.5771,7.93419969059406,0.23868245374474614,7.3584,9.1411,1.00141371249034,0.03744434596842032,0.8505869096717025,1.1119778662527835,0.0036829826732673408,0.30230746002611103,-1.3658000000000001,0.8296999999999999,53.242574257425744,46.75742574257426,1.0301406826889026,0.02481084493042598,1.0000126572665367,1.1756588170231375,49.46149716802729,1.6944295850246673,45.62915621041624,56.4821060556665,7.936041181930694,0.13577477639309046,7.62405,8.50205
R8,Toxin,8.330609641089108,0.18130994587910065,7.7655,8.9956,8.023194034653466,0.16983921097004478,7.273,8.6123,1.0388676088368558,0.03437155022310733,0.9249561673420573,1.2034468608945426,0.30741560643564353,0.2682197082206278,-0.6462999999999992,1.487400000000001,88.24257425742574,11.732673267326732,1.0423531266656707,0.030029498271916765,1.0,1.2034468608945426,52.49050495445081,1.4571705215802735,47.67151071531099,58.01922686540941,8.176901837871286,0.11346309558316842,7.7921499999999995,8.6007
R9,Toxin,8.104350433168317,0.19322601990665478,7.6092,8.8269,8.009939665841584,0.1873118771100372,7.4023,8.642,1.0124855722646748,0.037946226738310954,0.913535001432528,1.1494796974735824,0.09441076732673266,0.3014965912031962,-0.7242999999999995,1.1193,60.42079207920792,39.57920792079208,1.0321915227838265,0.02439663538625787,1.0000121300339642,1.1494796974735824,50.97714749132352,1.4685478131139325,46.280161791752015,56.890720916987206,8.057145049504951,0.1161291023427784,7.6767,8.5119
